project,name,version,type,purl,cpe,language,pkg_type,path
Meteor_Development_Group_Inc_-Meteor,@babel/runtime,7.24.5,library,pkg:npm/%40babel/runtime@7.24.5,cpe:2.3:a:\@babel\/runtime:\@babel\/runtime:7.24.5:*:*:*:*:*:*:*,javascript,npm,/tools/tests/apps/modern/package-lock.json
FACEBOOK-React,global-dirs,2.0.1,library,pkg:npm/global-dirs@2.0.1,cpe:2.3:a:global-dirs:global-dirs:2.0.1:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Liferay-Liferay,http-proxy,1.18.1,library,pkg:npm/http-proxy@1.18.1,cpe:2.3:a:http-proxy_project:http-proxy:1.18.1:*:*:*:*:node.js:*:*,javascript,npm,/modules/dxp/apps/osb/osb-faro/osb-faro-theme/package-lock.json
Google-Angular_Material,call-bind,1.0.8,library,pkg:npm/call-bind@1.0.8,cpe:2.3:a:call-bind:call-bind:1.0.8:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Citrix_Systems_Inc-CloudStack,cloud-usage,4.23.0.0-SNAPSHOT,library,pkg:maven/org.apache.cloudstack/cloud-usage@4.23.0.0-SNAPSHOT,cpe:2.3:a:apache:cloud-usage:4.23.0.0-SNAPSHOT:*:*:*:*:*:*:*,java,java-archive,/usage/pom.xml
FACEBOOK-HHVM,@types/scheduler,0.16.3,library,pkg:npm/%40types/scheduler@0.16.3,cpe:2.3:a:\@types\/scheduler:\@types\/scheduler:0.16.3:*:*:*:*:*:*:*,javascript,npm,/third-party/watchman/src/website/yarn.lock
ThoughtWorks_Inc_-GoCD,tslint,6.1.3,library,pkg:npm/tslint@6.1.3,cpe:2.3:a:tslint:tslint:6.1.3:*:*:*:*:*:*:*,javascript,npm,/server/src/main/webapp/WEB-INF/rails/yarn.lock
The_Apache_Software_Foundation-Apache_NiFi,minipass,7.1.3,library,pkg:npm/minipass@7.1.3,cpe:2.3:a:minipass:minipass:7.1.3:*:*:*:*:*:*:*,javascript,npm,/nifi-frontend/src/main/frontend/package-lock.json
Selenium_HQ-Selenium_IDE,@emotion/weak-memoize,0.3.1,library,pkg:npm/%40emotion/weak-memoize@0.3.1,cpe:2.3:a:\@emotion\/weak-memoize:\@emotion\/weak-memoize:0.3.1:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
FACEBOOK-React,eslint-module-utils,2.12.0,library,pkg:npm/eslint-module-utils@2.12.0,cpe:2.3:a:eslint-module-utils:eslint-module-utils:2.12.0:*:*:*:*:*:*:*,javascript,npm,/fixtures/view-transition/yarn.lock
Grafana_Labs-Grafana,github.com/munnerz/goautoneg,v0.0.0-20191010083416-a7dc8b61c822,library,pkg:golang/github.com/munnerz/goautoneg@v0.0.0-20191010083416-a7dc8b61c822,cpe:2.3:a:munnerz:goautoneg:v0.0.0-20191010083416-a7dc8b61c822:*:*:*:*:*:*:*,go,go-module,/pkg/plugins/go.mod
Kubernetes-k8s,k8s.io/utils,v0.0.0-20260210185600-b8788abfbbc2,library,pkg:golang/k8s.io/utils@v0.0.0-20260210185600-b8788abfbbc2,,go,go-module,/staging/src/k8s.io/cri-client/go.mod
Grafana_Labs-Grafana,github.com/go-openapi/swag,v0.25.4,library,pkg:golang/github.com/go-openapi/swag@v0.25.4,cpe:2.3:a:go-openapi:swag:v0.25.4:*:*:*:*:*:*:*,go,go-module,/apps/dashvalidator/go.mod
Arrow_Digital-Hotcakes,log4net,1.2.10.0,library,pkg:nuget/log4net@1.2.10.0,cpe:2.3:a:the_apache_software_foundation:log4net_.net:1.2.10.0:*:*:*:*:*:*:*,dotnet,dotnet,/Website/DesktopModules/Hotcakes/bin/log4net.dll
Liferay-Liferay,es-set-tostringtag,2.0.3,library,pkg:npm/es-set-tostringtag@2.0.3,cpe:2.3:a:es-set-tostringtag:es-set-tostringtag:2.0.3:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-adyen-workspace/yarn.lock
Bolt-Bolt,indexes-of,1.0.1,library,pkg:npm/indexes-of@1.0.1,cpe:2.3:a:indexes-of:indexes-of:1.0.1:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
Rust-Rust,vfs-notify,0.0.0,library,pkg:cargo/vfs-notify@0.0.0,cpe:2.3:a:vfs-notify:vfs-notify:0.0.0:*:*:*:*:*:*:*,rust,rust-crate,/src/tools/rust-analyzer/Cargo.lock
FACEBOOK-React,create-hmac,1.1.6,library,pkg:npm/create-hmac@1.1.6,cpe:2.3:a:create-hmac:create-hmac:1.1.6:*:*:*:*:*:*:*,javascript,npm,/fixtures/packaging/browserify/prod/yarn.lock
FACEBOOK-React,core-util-is,1.0.2,library,pkg:npm/core-util-is@1.0.2,cpe:2.3:a:core-util-is:core-util-is:1.0.2:*:*:*:*:*:*:*,javascript,npm,/fixtures/art/yarn.lock
PrestaShop-Commerce_Software,nikic/php-parser,v4.10.5,library,pkg:composer/nikic/php-parser@v4.10.5,cpe:2.3:a:nikic\/php-parser:nikic\/php-parser:v4.10.5:*:*:*:*:*:*:*,php,php-composer,/tests/Unit/Resources/composerLock/composer.lock
Jetpack-JetPack,memize,2.1.1,library,pkg:npm/memize@2.1.1,cpe:2.3:a:memize:memize:2.1.1:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Bolt-Bolt,create-hash,1.1.3,library,pkg:npm/create-hash@1.1.3,cpe:2.3:a:create-hash:create-hash:1.1.3:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
Node_js-Node_js,@jridgewell/resolve-uri,3.1.2,library,pkg:npm/%40jridgewell/resolve-uri@3.1.2,cpe:2.3:a:\@jridgewell\/resolve-uri:\@jridgewell\/resolve-uri:3.1.2:*:*:*:*:*:*:*,javascript,npm,/tools/eslint/package-lock.json
Apollo_GraphQL-Apollo_Client,@rollup/rollup-freebsd-x64,4.34.9,library,pkg:npm/%40rollup/rollup-freebsd-x64@4.34.9,cpe:2.3:a:\@rollup\/rollup-freebsd-x64:\@rollup\/rollup-freebsd-x64:4.34.9:*:*:*:*:*:*:*,javascript,npm,/integration-tests/pnpm-lock.yaml
Selenium-Selenium,actions/checkout,v4,library,pkg:github/actions/checkout@v4,cpe:2.3:a:actions\/checkout:actions\/checkout:v4:*:*:*:*:*:*:*,,github-action,/.github/workflows/mirror-selenium-releases.yml
Liferay-Liferay,side-channel-list,1.0.0,library,pkg:npm/side-channel-list@1.0.0,cpe:2.3:a:side-channel-list:side-channel-list:1.0.0:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-ups-workspace/yarn.lock
Meteor_Development_Group_Inc_-Meteor,@babel/helper-create-regexp-features-plugin,7.22.15,library,pkg:npm/%40babel/helper-create-regexp-features-plugin@7.22.15,cpe:2.3:a:\@babel\/helper-create-regexp-features-plugin:\@babel\/helper-create-regexp-features-plugin:7.22.15:*:*:*:*:*:*:*,javascript,npm,/npm-packages/meteor-babel/package-lock.json
Red_Hat-JBoss_Enterprise_Application_Server__EAS_,wildfly-clustering-weld-ejb,UNKNOWN,library,pkg:maven/wildfly-clustering-weld-ejb/wildfly-clustering-weld-ejb,cpe:2.3:a:wildfly-clustering-weld-ejb:wildfly-clustering-weld-ejb:*:*:*:*:*:*:*:*,java,java-archive,/ee-feature-pack/galleon-shared/pom.xml
Liferay-Liferay,is-date-object,1.0.5,library,pkg:npm/is-date-object@1.0.5,cpe:2.3:a:is-date-object:is-date-object:1.0.5:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-learn-workspace/yarn.lock
Google-Angular_Material,webpack-dev-middleware,7.4.2,library,pkg:npm/webpack-dev-middleware@7.4.2,cpe:2.3:a:webpack-dev-middleware:webpack-dev-middleware:7.4.2:*:*:*:*:*:*:*,javascript,npm,/integration/yarn-pnp-compat/yarn.lock
Meteor_Development_Group_Inc_-Meteor,ansi-html-community,0.0.8,library,pkg:npm/ansi-html-community@0.0.8,cpe:2.3:a:ansi-html-community:ansi-html-community:0.0.8:*:*:*:*:*:*:*,javascript,npm,/npm-packages/meteor-rspack/package-lock.json
ECLIPSE-Jetty,jetty-ee11-websocket-jakarta-client-webapp,12.1.8-SNAPSHOT,library,pkg:maven/org.eclipse.jetty.ee11.websocket/jetty-ee11-websocket-jakarta-client-webapp@12.1.8-SNAPSHOT,cpe:2.3:a:jetty-ee11-websocket-jakarta-client-webapp:jetty-ee11-websocket-jakarta-client-webapp:12.1.8-SNAPSHOT:*:*:*:*:*:*:*,java,java-archive,/jetty-ee11/jetty-ee11-websocket/jetty-ee11-websocket-jakarta-client-webapp/pom.xml
Liferay-Liferay,json-schema-traverse,0.4.1,library,pkg:npm/json-schema-traverse@0.4.1,cpe:2.3:a:json-schema-traverse:json-schema-traverse:0.4.1:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-partner-workspace/yarn.lock
The_Apache_Software_Foundation-Apache_Ambari,lcid,1.0.0,library,pkg:npm/lcid@1.0.0,cpe:2.3:a:lcid:lcid:1.0.0:*:*:*:*:*:*:*,javascript,npm,/contrib/views/wfmanager/src/main/resources/ui/yarn.lock
Node_js-Node_js,d3-axis,1.0.12,library,pkg:npm/d3-axis@1.0.12,cpe:2.3:a:d3-axis:d3-axis:1.0.12:*:*:*:*:*:*:*,javascript,npm,/deps/v8/tools/turbolizer/package-lock.json
Modernizr-Modernizr,requirejs,2.3.8,library,pkg:npm/requirejs@2.3.8,cpe:2.3:a:requirejs:requirejs:2.3.8:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
FACEBOOK-React,is-obj,2.0.0,library,pkg:npm/is-obj@2.0.0,cpe:2.3:a:is-obj:is-obj:2.0.0:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Neos-Neos,smart-buffer,4.0.1,library,pkg:npm/smart-buffer@4.0.1,cpe:2.3:a:smart-buffer:smart-buffer:4.0.1:*:*:*:*:*:*:*,javascript,npm,/Neos.Media.Browser/yarn.lock
Liferay-Liferay,js-tokens,4.0.0,library,pkg:npm/js-tokens@4.0.0,cpe:2.3:a:js-tokens:js-tokens:4.0.0:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-aicontentwizard-workspace/yarn.lock
Live_Helper-Live_Helper_Chat,isobject,3.0.1,library,pkg:npm/isobject@3.0.1,cpe:2.3:a:isobject:isobject:3.0.1:*:*:*:*:*:*:*,javascript,npm,/lhc_web/package-lock.json
Orient_Technologies-OrientDB,set-value,0.4.3,library,pkg:npm/set-value@0.4.3,cpe:2.3:a:set-value_project:set-value:0.4.3:*:*:*:*:node.js:*:*,javascript,npm,/studio/yarn.lock
Citrix_Systems_Inc-CloudStack,cloudstack-service-console-proxy,4.23.0.0-SNAPSHOT,library,pkg:maven/org.apache.cloudstack/cloudstack-service-console-proxy@4.23.0.0-SNAPSHOT,cpe:2.3:a:apache:cloudstack-service-console-proxy:4.23.0.0-SNAPSHOT:*:*:*:*:*:*:*,java,java-archive,/services/console-proxy/pom.xml
Sentry-Ravenjs,@smithy/middleware-serde,4.2.9,library,pkg:npm/%40smithy/middleware-serde@4.2.9,cpe:2.3:a:\@smithy\/middleware-serde:\@smithy\/middleware-serde:4.2.9:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Thelia-Thelia,babel-eslint,10.1.0,library,pkg:npm/babel-eslint@10.1.0,cpe:2.3:a:babel-eslint:babel-eslint:10.1.0:*:*:*:*:*:*:*,javascript,npm,/templates/frontOffice/modern/yarn.lock
Liferay-Liferay,which-builtin-type,1.2.0,library,pkg:npm/which-builtin-type@1.2.0,cpe:2.3:a:which-builtin-type:which-builtin-type:1.2.0:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-learn-workspace/yarn.lock
Tilde-Emberjs,lines-and-columns,1.2.4,library,pkg:npm/lines-and-columns@1.2.4,cpe:2.3:a:lines-and-columns:lines-and-columns:1.2.4:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Angular-AngularJS,@types/hast,3.0.4,library,pkg:npm/%40types/hast@3.0.4,cpe:2.3:a:\@types\/hast:\@types\/hast:3.0.4:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
FACEBOOK-React,browserify-sign,4.2.2,library,pkg:npm/browserify-sign@4.2.2,cpe:2.3:a:browserify:browserify-sign:4.2.2:*:*:*:*:node.js:*:*,javascript,npm,/fixtures/ssr2/package-lock.json
WooCommerce-WooCommerce,concat-map,0.0.1,library,pkg:npm/concat-map@0.0.1,cpe:2.3:a:concat-map:concat-map:0.0.1:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Ionic-Ionic_Framework,type-is,1.6.18,library,pkg:npm/type-is@1.6.18,cpe:2.3:a:type-is:type-is:1.6.18:*:*:*:*:*:*:*,javascript,npm,/packages/angular/test/apps/ng16/package-lock.json
Shopsys_Framework-Shopsys_Framework,actions/checkout,v4,library,pkg:github/actions/checkout@v4,cpe:2.3:a:actions\/checkout:actions\/checkout:v4:*:*:*:*:*:*:*,,github-action,/packages/coding-standards/.github/workflows/run-checks-tests.yaml
Countly-Countly,@jimp/plugin-rotate,1.6.0,library,pkg:npm/%40jimp/plugin-rotate@1.6.0,cpe:2.3:a:\@jimp\/plugin-rotate:\@jimp\/plugin-rotate:1.6.0:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
Angular-AngularJS,@rollup/rollup-linux-riscv64-gnu,4.60.0,library,pkg:npm/%40rollup/rollup-linux-riscv64-gnu@4.60.0,cpe:2.3:a:\@rollup\/rollup-linux-riscv64-gnu:\@rollup\/rollup-linux-riscv64-gnu:4.60.0:*:*:*:*:*:*:*,javascript,npm,/integration/animations/pnpm-lock.yaml
Apollo_GraphQL-Apollo_Client,@csstools/selector-specificity,2.2.0,library,pkg:npm/%40csstools/selector-specificity@2.2.0,cpe:2.3:a:\@csstools\/selector-specificity:\@csstools\/selector-specificity:2.2.0:*:*:*:*:*:*:*,javascript,npm,/integration-tests/pnpm-lock.yaml
GHOST-Ghost,store2,2.14.2,library,pkg:npm/store2@2.14.2,cpe:2.3:a:store2:store2:2.14.2:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Rust-Rust,issue_rust_86261,0.1.0,library,pkg:cargo/issue_rust_86261@0.1.0,cpe:2.3:a:issue-rust-86261:issue-rust-86261:0.1.0:*:*:*:*:*:*:*,rust,rust-crate,/src/tools/miri/test-cargo-miri/Cargo.lock
Google-Angular_Material,retry,0.12.0,library,pkg:npm/retry@0.12.0,cpe:2.3:a:retry:retry:0.12.0:*:*:*:*:*:*:*,javascript,npm,/integration/ng-add-standalone/pnpm-lock.yaml
Apollo_GraphQL-Apollo_Client,tiny-invariant,1.3.3,library,pkg:npm/tiny-invariant@1.3.3,cpe:2.3:a:tiny-invariant:tiny-invariant:1.3.3:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
Google-Angular_Material,is-yarn-global,0.3.0,library,pkg:npm/is-yarn-global@0.3.0,cpe:2.3:a:is-yarn-global:is-yarn-global:0.3.0:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Rust-Rust,glob,7.2.3,library,pkg:npm/glob@7.2.3,cpe:2.3:a:isaacs:glob:7.2.3:*:*:*:*:node.js:*:*,javascript,npm,/yarn.lock
Angular-AngularJS,@rolldown/binding-linux-arm64-gnu,1.0.0-rc.10,library,pkg:npm/%40rolldown/binding-linux-arm64-gnu@1.0.0-rc.10,cpe:2.3:a:\@rolldown\/binding-linux-arm64-gnu:\@rolldown\/binding-linux-arm64-gnu:1.0.0-rc.10:*:*:*:*:*:*:*,javascript,npm,/integration/legacy-animations/pnpm-lock.yaml
The_Apache_Software_Foundation-Apache_Hadoop,/Users/dmk6603/Documents/cloned_repos_oss_swdb/The_Apache_Software_Foundation-Apache_Hadoop/hadoop-hdfs-project/hadoop-hdfs/pom.xml,,file,,,,,
Grafana_Labs-Grafana,github.com/evanphx/json-patch,v5.9.11+incompatible,library,pkg:golang/github.com/evanphx/json-patch@v5.9.11%2Bincompatible,cpe:2.3:a:evanphx:json-patch:v5.9.11\+incompatible:*:*:*:*:*:*:*,go,go-module,/apps/alerting/rules/go.mod
druidio-Druid,hast-util-from-parse5,6.0.1,library,pkg:npm/hast-util-from-parse5@6.0.1,cpe:2.3:a:hast-util-from-parse5:hast-util-from-parse5:6.0.1:*:*:*:*:*:*:*,javascript,npm,/website/package-lock.json
Kubernetes-k8s,github.com/armon/go-socks5,v0.0.0-20160902184237-e75332964ef5,library,pkg:golang/github.com/armon/go-socks5@v0.0.0-20160902184237-e75332964ef5,cpe:2.3:a:armon:go-socks5:v0.0.0-20160902184237-e75332964ef5:*:*:*:*:*:*:*,go,go-module,/staging/src/k8s.io/streaming/go.mod
CKSource_sp__z_o_o__sp_k_-CKEditor,walk-back,5.1.1,library,pkg:npm/walk-back@5.1.1,cpe:2.3:a:walk-back:walk-back:5.1.1:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Meteor_Development_Group_Inc_-Meteor,string_decoder,1.3.0,library,pkg:npm/string_decoder@1.3.0,cpe:2.3:a:string-decoder:string-decoder:1.3.0:*:*:*:*:*:*:*,javascript,npm,/tools/tests/apps/meteor-ignore/package-lock.json
Node_js-Node_js,zerovec,0.11.5,library,pkg:cargo/zerovec@0.11.5,cpe:2.3:a:zerovec:zerovec:0.11.5:*:*:*:*:*:*:*,rust,rust-crate,/deps/crates/vendor/zerotrie/Cargo.lock
WooCommerce-WooCommerce,@sentry/node,7.120.3,library,pkg:npm/%40sentry/node@7.120.3,cpe:2.3:a:\@sentry\/node:\@sentry\/node:7.120.3:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
FACEBOOK-React,console-control-strings,1.1.0,library,pkg:npm/console-control-strings@1.1.0,cpe:2.3:a:console-control-strings:console-control-strings:1.1.0:*:*:*:*:*:*:*,javascript,npm,/fixtures/art/yarn.lock
Google-Angular_Material,is-shared-array-buffer,1.0.4,library,pkg:npm/is-shared-array-buffer@1.0.4,cpe:2.3:a:is-shared-array-buffer:is-shared-array-buffer:1.0.4:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
The_Apache_Software_Foundation-Apache_Hadoop,apidoc-core,0.8.3,library,pkg:npm/apidoc-core@0.8.3,cpe:2.3:a:apidoc-core:apidoc-core:0.8.3:*:*:*:*:*:*:*,javascript,npm,/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-applications/hadoop-yarn-applications-catalog/hadoop-yarn-applications-catalog-webapp/yarn.lock
Angular-AngularJS,globalthis,1.0.4,library,pkg:npm/globalthis@1.0.4,cpe:2.3:a:globalthis:globalthis:1.0.4:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
Influxdata_Inc-InfluxData,prometheus,0.14.0,library,pkg:cargo/prometheus@0.14.0,,rust,rust-crate,/Cargo.lock
Grafana_Labs-Grafana,github.com/grafana/grafana-app-sdk/logging,v0.51.4,library,pkg:golang/github.com/grafana/grafana-app-sdk/logging@v0.51.4,cpe:2.3:a:grafana:grafana-app-sdk\/logging:v0.51.4:*:*:*:*:*:*:*,go,go-module,/apps/live/go.mod
Liferay-Liferay,csstype,3.1.3,library,pkg:npm/csstype@3.1.3,cpe:2.3:a:csstype:csstype:3.1.3:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-testray-workspace/client-extensions/liferay-testray-custom-element/yarn.lock
Neos-Neos,clone-deep,4.0.1,library,pkg:npm/clone-deep@4.0.1,cpe:2.3:a:clone-deep:clone-deep:4.0.1:*:*:*:*:*:*:*,javascript,npm,/Neos.Neos/yarn.lock
FACEBOOK-Presto,functions-have-names,1.2.3,library,pkg:npm/functions-have-names@1.2.3,cpe:2.3:a:functions-have-names:functions-have-names:1.2.3:*:*:*:*:*:*:*,javascript,npm,/presto-ui/src/yarn.lock
FACEBOOK-React,cli-boxes,2.2.1,library,pkg:npm/cli-boxes@2.2.1,cpe:2.3:a:cli-boxes:cli-boxes:2.2.1:*:*:*:*:*:*:*,javascript,npm,/fixtures/ssr2/yarn.lock
Kubernetes-k8s,golang.org/x/text,v0.33.0,library,pkg:golang/golang.org/x/text@v0.33.0,cpe:2.3:a:golang:text:v0.33.0:*:*:*:*:*:*:*,go,go-module,/staging/src/k8s.io/component-base/go.mod
Rundeck-Rundeck,escalade,3.2.0,library,pkg:npm/escalade@3.2.0,cpe:2.3:a:escalade:escalade:3.2.0:*:*:*:*:*:*:*,javascript,npm,/rundeckapp/grails-app/assets/javascripts/_package-manager/package-lock.json
Liferay-Liferay,util-deprecate,1.0.2,library,pkg:npm/util-deprecate@1.0.2,cpe:2.3:a:util-deprecate:util-deprecate:1.0.2:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-learn-workspace/client-extensions/liferay-learn-global-js/yarn.lock
GHOST-Ghost,babel-plugin-transform-es2015-unicode-regex,6.24.1,library,pkg:npm/babel-plugin-transform-es2015-unicode-regex@6.24.1,cpe:2.3:a:babel-plugin-transform-es2015-unicode-regex:babel-plugin-transform-es2015-unicode-regex:6.24.1:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Google-Angular_Material,is-date-object,1.1.0,library,pkg:npm/is-date-object@1.1.0,cpe:2.3:a:is-date-object:is-date-object:1.1.0:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
WooCommerce-WooCommerce,buffer-fill,1.0.0,library,pkg:npm/buffer-fill@1.0.0,cpe:2.3:a:buffer-fill:buffer-fill:1.0.0:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
ec-cube_net-EC-CUBE,chart.js,3.9.1,library,pkg:npm/chart.js@3.9.1,cpe:2.3:a:chartjs:chart.js:3.9.1:*:*:*:*:node.js:*:*,javascript,npm,/package-lock.json
XWiki-XWiki,bail,2.0.2,library,pkg:npm/bail@2.0.2,cpe:2.3:a:bail:bail:2.0.2:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
dotCMS-dotCMS,is-fullwidth-code-point,3.0.0,library,pkg:npm/is-fullwidth-code-point@3.0.0,cpe:2.3:a:is-fullwidth-code-point:is-fullwidth-code-point:3.0.0:*:*:*:*:*:*:*,javascript,npm,/core-web/yarn.lock
FACEBOOK-React,type-is,1.6.18,library,pkg:npm/type-is@1.6.18,cpe:2.3:a:type-is:type-is:1.6.18:*:*:*:*:*:*:*,javascript,npm,/fixtures/flight/yarn.lock
Bolt-Bolt,open,6.4.0,library,pkg:npm/open@6.4.0,cpe:2.3:a:open:open:6.4.0:*:*:*:*:*:*:*,javascript,npm,/package-lock.json
Civilized_Discourse_Construction_Kit_Inc_-Discourse,node-domexception,1.0.0,library,pkg:npm/node-domexception@1.0.0,cpe:2.3:a:node-domexception:node-domexception:1.0.0:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
FACEBOOK-React,is-binary-path,2.1.0,library,pkg:npm/is-binary-path@2.1.0,cpe:2.3:a:is-binary-path:is-binary-path:2.1.0:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Rust-Rust,winnow,0.5.40,library,pkg:cargo/winnow@0.5.40,cpe:2.3:a:winnow:winnow:0.5.40:*:*:*:*:*:*:*,rust,rust-crate,/Cargo.lock
Neo4j-Neo4j,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Neo4j-Neo4j/community/neo4j-community/pom.xml,,file,,,,,
GHOST-Ghost,make-fetch-happen,13.0.0,library,pkg:npm/make-fetch-happen@13.0.0,cpe:2.3:a:make-fetch-happen:make-fetch-happen:13.0.0:*:*:*:*:*:*:*,javascript,npm,/yarn.lock
Sun_Microsystems-GlassFish,jakarta.el-api,6.0.1,library,pkg:maven/jakarta.el/jakarta.el-api@6.0.1,cpe:2.3:a:jakarta.el-api:jakarta.el-api:6.0.1:*:*:*:*:*:*:*,java,java-archive,/appserver/admingui/common/pom.xml
Liferay-Liferay,has-tostringtag,1.0.2,library,pkg:npm/has-tostringtag@1.0.2,cpe:2.3:a:has-tostringtag:has-tostringtag:1.0.2:*:*:*:*:*:*:*,javascript,npm,/workspaces/liferay-ups-workspace/yarn.lock
Ionic-Ionic_Framework,eslint-plugin-flowtype,8.0.3,library,pkg:npm/eslint-plugin-flowtype@8.0.3,cpe:2.3:a:eslint-plugin-flowtype:eslint-plugin-flowtype:8.0.3:*:*:*:*:*:*:*,javascript,npm,/packages/react/test/apps/react17/package-lock.json
The_Apache_Software_Foundation-Apache_Oozie,/Users/dmk6603/Documents/cloned_repos_oss_swdb/The_Apache_Software_Foundation-Apache_Oozie/fluent-job/fluent-job-api/pom.xml,,file,,,,,
WooCommerce-WooCommerce,cache-base,1.0.1,library,pkg:npm/cache-base@1.0.1,cpe:2.3:a:cache-base_project:cache-base:1.0.1:*:*:*:*:node.js:*:*,javascript,npm,/pnpm-lock.yaml
The_Apache_Software_Foundation-Apache_Flink,flink-connector-cassandra_2.12,3.0.0-1.16,library,pkg:maven/org.apache.flink/flink-connector-cassandra_2.12@3.0.0-1.16,cpe:2.3:a:apache:flink-connector-cassandra-2.12:3.0.0-1.16:*:*:*:*:*:*:*,java,java-archive,/flink-python/pom.xml
Plotly_Inc-Plotly,through2,0.6.5,library,pkg:npm/through2@0.6.5,cpe:2.3:a:through2:through2:0.6.5:*:*:*:*:*:*:*,javascript,npm,/stackgl_modules/package-lock.json
WooCommerce-WooCommerce,@csstools/postcss-hwb-function,4.0.9,library,pkg:npm/%40csstools/postcss-hwb-function@4.0.9,cpe:2.3:a:\@csstools\/postcss-hwb-function:\@csstools\/postcss-hwb-function:4.0.9:*:*:*:*:*:*:*,javascript,npm,/docs/_docu-tools/pnpm-lock.yaml
Liferay-Liferay,micromark-factory-label,2.0.0,library,pkg:npm/micromark-factory-label@2.0.0,cpe:2.3:a:micromark-factory-label:micromark-factory-label:2.0.0:*:*:*:*:*:*:*,javascript,npm,/modules/apps/frontend-js/frontend-js-clay-web/clay/www/yarn.lock
The_Apache_Software_Foundation-Apache_Hadoop,emoji-regex,8.0.0,library,pkg:npm/emoji-regex@8.0.0,cpe:2.3:a:emoji-regex:emoji-regex:8.0.0:*:*:*:*:*:*:*,javascript,npm,/hadoop-yarn-project/hadoop-yarn/hadoop-yarn-ui/src/main/webapp/yarn.lock
Rust-Rust,miri,0.1.0,library,pkg:cargo/miri@0.1.0,cpe:2.3:a:miri:miri:0.1.0:*:*:*:*:*:*:*,rust,rust-crate,/Cargo.lock
Google-Angular_Material,exegesis-express,4.0.0,library,pkg:npm/exegesis-express@4.0.0,cpe:2.3:a:exegesis-express:exegesis-express:4.0.0:*:*:*:*:*:*:*,javascript,npm,/pnpm-lock.yaml
PowerDNS-DNS_Server,invoke,2.2.1,library,pkg:pypi/invoke@2.2.1,cpe:2.3:a:python-invoke:python-invoke:2.2.1:*:*:*:*:*:*:*,python,python,/meson/requirements.txt
Dart-Dart,/Users/dmk6603/Documents/cloned_repos_oss_swdb/Dart-Dart/pkg/expect/pubspec.yaml,,file,,,,,
Angular-AngularJS,merge-descriptors,1.0.3,library,pkg:npm/merge-descriptors@1.0.3,cpe:2.3:a:merge-descriptors:merge-descriptors:1.0.3:*:*:*:*:*:*:*,javascript,npm,/integration/cli-hello-world/pnpm-lock.yaml
ThoughtWorks_Inc_-GoCD,path-is-absolute,1.0.1,library,pkg:npm/path-is-absolute@1.0.1,cpe:2.3:a:path-is-absolute:path-is-absolute:1.0.1:*:*:*:*:*:*:*,javascript,npm,/server/src/main/webapp/WEB-INF/rails/yarn.lock
Angular-AngularJS,babel-plugin-polyfill-corejs2,0.4.17,library,pkg:npm/babel-plugin-polyfill-corejs2@0.4.17,cpe:2.3:a:babel-plugin-polyfill-corejs2:babel-plugin-polyfill-corejs2:0.4.17:*:*:*:*:*:*:*,javascript,npm,/integration/trusted-types/pnpm-lock.yaml
